text_id;tweet_cleaned_id;tweet_preprocessed
Tahap Sosialisasi, 3 Tiang Kamera ETLE Dibangun di Sepanjang Jalur Utama Denpasar-Gilimanuk https://t.co/J1P5XKUpGq;tahap sosialisasi  tiang kamera etle dibangun di sepanjang jalur utama denpasargilimanuk ;['tahap', 'sosialisasi', 'tiang', 'kamera', 'etle', 'bangun', 'jalur', 'utama', 'denpasargilimanuk']
Polda Metro Jaya: 100 Ribu Lebih Pengendara Kena Tilang ETLE Januari-Oktober https://t.co/beZZuGvefN #TempoMetro;polda metro jaya  ribu lebih pengendara kena tilang etle januarioktober  ;['polda', 'metro', 'jaya', 'ribu', 'kendara', 'kena', 'bukti', 'langgar', 'etle', 'januarioktober']
11 ETLE Mobile Sisir Jalanan Jakarta, Siap Tindak Pelanggar Lalu Lintas https://t.co/8bZk17Kv5q; etle mobile sisir jalanan jakarta siap tindak pelanggar lalu lintas ;['etle', 'mobile', 'sisir', 'jalan', 'jakarta', 'tindak', 'langgar', 'lintas']
"GIAT PELAYANAN SIM &amp; ETLE SAT LANTAS POLRES TARAKAN https://t.co/Qn8xzhYrk8";giat pelayanan sim dan etle sat lantas polres tarakan ;['giat', 'layan', 'sim', 'etle', 'sat', 'lantas', 'polres', 'tara']
"Giat Sisialisasi ETLE di Balai Kecamatan Muaradua Kisam
#poldasumsel 
#polresokuselatan https://t.co/DDY2wg1MrQ";giat sisialisasi etle di balai kecamatan muaradua kisam   ;['giat', 'sisialisasi', 'etle', 'balai', 'camat', 'muaradua', 'kisam']
"Komika kedelapan

Korban tilang elektronik, Giawan. https://t.co/J2hknMorjX";komika kedelapan korban tilang elektronik giawan ;['komika', 'delap', 'korban', 'bukti', 'langgar', 'elektronik', 'giawan']
Kecamatan Astanajapura Hingga Ciledug Cirebon Diusulkan Dipasang Kamera E-Tilang https://t.co/uZgzQCkBRc #ETilang #KameraETilang #Cirebon;kecamatan astanajapura hingga ciledug cirebon diusulkan dipasang kamera etilang    ;['camat', 'astanajapura', 'ciledug', 'cirebon', 'usul', 'pasang', 'kamera', 'etilang']
Jalankan Intruksi Kapolri, Dirlantas Tarik Seluruh Surat Tilang dan Maksimalkan ETLE Mobile https://t.co/y02TbGDTfU;jalankan intruksi kapolri dirlantas tarik seluruh surat tilang dan maksimalkan etle mobile ;['jalan', 'intruksi', 'kapolri', 'dirlantas', 'tarik', 'surat', 'bukti', 'langgar', 'maksimal', 'etle', 'mobile']
Beralih ke Sistem ETLE, Satlantas Polrestabes Makassar Hentikan Sistem Tilang Manual https://t.co/vHzOChWoD2;beralih ke sistem etle satlantas polrestabes makassar hentikan sistem tilang manual ;['alih', 'sistem', 'etle', 'satlantas', 'polrestabes', 'makassar', 'henti', 'sistem', 'bukti', 'langgar', 'manual']
"""E-TLE mobile ini memberikan jaminan kepada masyarakat, untuk dapat kepastian hukum yang adil dan tidak pandang bulu di jalan raya,"" ujar Kapolda. https://t.co/4P41unwnNg";etle mobile ini memberikan jaminan kepada masyarakat untuk dapat kepastian hukum yang adil dan tidak pandang bulu di jalan raya ujar kapolda ;['etle', 'mobile', 'jamin', 'masyarakat', 'pasti', 'hukum', 'adil', 'pandang', 'bulu', 'jalan', 'raya', 'kapolda']
